DepartmentId,Date,Volume
47,2017-10-09,8.889073
15,2017-04-17,19.4976
38,2017-07-28,96.29153
17,2017-06-25,98.61543
45,2017-10-28,5.326277
24,2017-03-14,97.27448
12,2017-10-21,19.71019
16,2017-08-02,81.04273
32,2017-10-01,72.87087
36,2017-12-27,33.2606
42,2017-04-24,19.91502
11,2017-07-14,60.70597
26,2017-05-23,80.92822
30,2017-11-27,6.961421
41,2017-10-09,94.68748
9,2017-04-22,74.92361
6,2017-08-24,71.08675
7,2017-10-04,28.88081
7,2017-08-23,76.5783
32,2017-04-16,43.45625
28,2017-10-05,51.69184
48,2017-10-13,48.6036
5,2017-09-26,91.74255
34,2017-11-08,32.93619
29,2017-07-12,21.27872
42,2017-10-17,72.22815
48,2017-01-13,36.30727
48,2017-06-17,74.79009
3,2017-10-27,89.94939
8,2017-09-04,50.73868
23,2017-02-24,67.31075
32,2017-04-17,26.30012
31,2017-02-28,10.94384
10,2017-01-06,48.80924
36,2017-07-28,31.93619
10,2017-03-28,91.59676
27,2017-02-19,39.92255
12,2017-11-21,14.41887
23,2017-09-28,26.67226
21,2017-08-16,4.6896
48,2017-09-14,61.06055
3,2017-02-17,3.995464
14,2017-10-17,83.36458
28,2017-07-24,31.90267
3,2017-10-14,55.85766
19,2017-02-10,91.12993
21,2017-10-28,74.74199
40,2017-12-08,36.96269
30,2017-09-02,57.30036
19,2017-01-15,51.84609
15,2017-04-04,52.31021
34,2017-01-25,11.24675
29,2017-03-31,53.61376
12,2017-12-12,7.261568
36,2017-02-26,31.45048
32,2017-09-27,5.532703
18,2017-04-21,96.72134
16,2017-02-26,12.57106
17,2017-12-24,25.56971
5,2017-12-04,83.67758
42,2017-08-04,49.14355
44,2017-09-15,85.67777
28,2017-08-12,42.57393
50,2017-10-24,68.3567
15,2017-09-22,72.30481
17,2017-05-26,88.81829
17,2017-04-12,8.988235
46,2017-10-14,64.3277
15,2017-06-27,19.08117
30,2017-05-20,12.17086
1,2017-04-26,79.72168
42,2017-12-19,25.64124
49,2017-06-28,43.91002
6,2017-12-07,59.70641
38,2017-08-12,24.77662
27,2017-07-14,79.80168
24,2017-10-14,84.89566
35,2017-12-13,4.436232
36,2017-12-16,58.12771
23,2017-06-21,34.08852
22,2017-06-05,4.083458
18,2017-11-21,62.72986
24,2017-06-03,88.54663
3,2017-08-27,67.08104
6,2017-08-25,94.43824
18,2017-05-30,35.52105
31,2017-06-09,27.32417
6,2017-02-19,51.88586
9,2017-11-22,75.05104
43,2017-08-25,77.98942
17,2017-02-20,83.64238
47,2017-04-26,66.64908
19,2017-07-12,99.71147
10,2017-04-01,88.69987
13,2017-02-14,14.77511
32,2017-03-25,22.64166
